tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Renewable Power,GBR,United Kingdom,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,AZE,Azerbaijan,TWh,1965,2019,2021,saturating,national,regional_csv
Renewable Power,BLR,Belarus,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,RUS,Russian Federation,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,QAT,Qatar,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,TKM,Turkmenistan,TWh,1965,2016,2021,saturating,national,regional_csv
Renewable Power,UZB,Uzbekistan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,IRN,Iran,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,IRQ,Iraq,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,ISR,Israel,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,KWT,Kuwait,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Renewable Power,OMN,Oman,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,TWN,Taiwan,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,THA,Thailand,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,VNM,Vietnam,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,SWE,Sweden,TWh,1965,2001,2021,pre_saturation,national,regional_csv
Hydroelectricity,CHE,Switzerland,TWh,1965,2001,2021,pre_saturation,national,regional_csv
Hydroelectricity,TUR,Turkey,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Hydroelectricity,UKR,Ukraine,TWh,1965,1998,2021,pre_saturation,national,regional_csv
Hydroelectricity,GBR,United Kingdom,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Hydroelectricity,AZE,Azerbaijan,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,BLR,Belarus,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Hydroelectricity,KAZ,Kazakhstan,TWh,1965,2016,2021,pre_saturation,national,regional_csv
Hydroelectricity,RUS,Russian Federation,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,World,World,TWh,1965,2021,2021,pre_saturation,global,regional_csv
Hydroelectricity,TKM,Turkmenistan,TWh,1965,1998,2021,pre_saturation,national,regional_csv
Hydroelectricity,UZB,Uzbekistan,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,IRN,Iran,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Hydroelectricity,IRQ,Iraq,TWh,1965,1995,2021,pre_saturation,national,regional_csv
Hydroelectricity,ISR,Israel,TWh,1965,1999,2021,pre_saturation,national,regional_csv
Hydroelectricity,ESP,Spain,TWh,1965,1979,2021,pre_saturation,national,regional_csv
Hydroelectricity,IRL,Ireland,TWh,1965,2008,2021,pre_saturation,national,regional_csv
Hydroelectricity,ITA,Italy,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Hydroelectricity,LVA,Latvia,TWh,1965,1990,2021,pre_saturation,national,regional_csv
Hydroelectricity,LTU,Lithuania,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Hydroelectricity,LUX,Luxembourg,TWh,1965,2008,2021,pre_saturation,national,regional_csv
